year;iso;mode;SSP1_noCOVID;SSP2_noCOVID;SSP5_noCOVID;SSP1;SSP2;SSP5
1980;ARM;entrp_pass_lo;7944.692811;7944.692811;7944.692811;7944.692811;7944.692811;7944.692811
1985;ARM;entrp_pass_lo;9237.037218;9237.037218;9237.037218;9237.037218;9237.037218;9237.037218
1990;ARM;entrp_pass_lo;10355.48717;10355.48717;10355.48717;10355.48717;10355.48717;10355.48717
1995;ARM;entrp_pass_lo;5490.088476;5490.088476;5490.088476;5490.088476;5490.088476;5490.088476
2000;ARM;entrp_pass_lo;7216.28829;7216.28829;7216.28829;7216.28829;7216.28829;7216.28829
2005;ARM;entrp_pass_lo;12464.62897;12464.62897;12464.62897;12464.62897;12464.62897;12464.62897
2010;ARM;entrp_pass_lo;14576.87474;14576.87474;14576.87474;14576.87474;14576.87474;14576.87474
2015;ARM;entrp_pass_lo;17839.56157;17839.56157;17839.56157;17839.56157;17839.56157;17839.56157
2020;ARM;entrp_pass_lo;21253.76706;21215.05277;21156.05277;21253.76706;21215.05277;21156.05277
2025;ARM;entrp_pass_lo;25658.97255;24842.54398;25984.54398;25658.97255;24842.54398;25984.54398
2030;ARM;entrp_pass_lo;31416.17804;28769.03518;32862.03518;31416.17804;28769.03518;32862.03518
2035;ARM;entrp_pass_lo;38307.38353;32817.52639;41416.52639;38307.38353;32817.52639;41416.52639
2040;ARM;entrp_pass_lo;45338.58902;36820.01759;50008.01759;45338.58902;36820.01759;50008.01759
2045;ARM;entrp_pass_lo;51737.79451;40466.5088;57767.5088;51737.79451;40466.5088;57767.5088
2050;ARM;entrp_pass_lo;57013;43626;64172;57013;43626;64172
2055;ARM;entrp_pass_lo;61218;46431;69381;61218;46431;69381
2060;ARM;entrp_pass_lo;65011;49390;74150;65011;49390;74150
2070;ARM;entrp_pass_lo;71565;55940;82883;71565;55940;82883
2080;ARM;entrp_pass_lo;74461;61741;87950;74461;61741;87950
2090;ARM;entrp_pass_lo;76099;68258;92332;76099;68258;92332
2100;ARM;entrp_pass_lo;76396;75794;96688;76396;75794;96688
2110;ARM;entrp_pass_lo;76396;75794;96688;76396;75794;96688
2130;ARM;entrp_pass_lo;76396;75794;96688;76396;75794;96688
2150;ARM;entrp_pass_lo;76396;75794;96688;76396;75794;96688
